workload_file,origin,n_qubits,k_partitions,best_method,best_cost
qftentangled_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,31
qftentangled_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,25
qftentangled_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,35
qftentangled_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,32
qnn_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,104
qnn_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,130
qnn_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,148
qnn_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,27
qnn_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,35
qnn_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,35
qnn_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,37
qnn_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,50
qnn_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,50
qnn_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,50
qnn_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,63
qnn_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,75
qnn_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,68
qnn_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,89
qnn_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,100
qnn_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,81
qnn_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,112
qnn_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,111
qpeexact_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,28
qpeexact_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,34
qpeexact_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,37
qpeexact_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,7
qpeexact_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,8
qpeexact_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,8
qpeexact_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,9
qpeexact_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,13
qpeexact_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,13
qpeexact_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,13
qpeexact_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,16
qpeexact_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,19
qpeexact_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,19
qpeexact_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,24
qpeexact_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,27
qpeexact_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,21
qpeexact_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,31
qpeexact_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,28
qpeinexact_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,26
qpeinexact_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,34
qpeinexact_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,39
qpeinexact_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,8
qpeinexact_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,9
qpeinexact_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,9
qpeinexact_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,10
qpeinexact_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,13
qpeinexact_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,13
qpeinexact_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,14
qpeinexact_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,16
qpeinexact_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,20
qpeinexact_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,18
qpeinexact_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,24
qpeinexact_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,27
qpeinexact_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,23
qpeinexact_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,30
qpeinexact_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,30
qwalk-noancilla_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,6378
qwalk-noancilla_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,8082
qwalk-noancilla_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,9924
qwalk-noancilla_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,156
qwalk-noancilla_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,210
qwalk-noancilla_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,222
qwalk-noancilla_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,336
qwalk-noancilla_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,456
qwalk-noancilla_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,450
qwalk-noancilla_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,756
qwalk-noancilla_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,1086
qwalk-noancilla_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,1194
qwalk-noancilla_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,1674
qwalk-noancilla_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,1872
qwalk-noancilla_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,2190
qwalk-noancilla_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,2826
qwalk-noancilla_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,3726
qwalk-noancilla_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,4104
qwalk-v-chain_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,30
qwalk-v-chain_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,30
qwalk-v-chain_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,30
qwalk-v-chain_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,54
qwalk-v-chain_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,54
qwalk-v-chain_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
qwalk-v-chain_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,96
qwalk-v-chain_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,84
qwalk-v-chain_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,84
random_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,47
random_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,57
random_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,76
random_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,12
random_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,18
random_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,18
random_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,18
random_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,25
random_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,25
random_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,22
random_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,34
random_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,41
random_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,34
random_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,43
random_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,48
random_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,36
random_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,47
random_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,45
realamprandom_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,75
realamprandom_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,96
realamprandom_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,108
realamprandom_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,18
realamprandom_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,24
realamprandom_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,24
realamprandom_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,27
realamprandom_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,36
realamprandom_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,36
realamprandom_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,36
realamprandom_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,45
realamprandom_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
realamprandom_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,48
realamprandom_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,63
realamprandom_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,72
realamprandom_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,60
realamprandom_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,81
realamprandom_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,81
routing_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,3
routing_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,6
routing_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,6
su2random_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,75
su2random_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,96
su2random_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,108
su2random_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,18
su2random_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,24
su2random_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,24
su2random_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,27
su2random_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,36
su2random_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,36
su2random_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,36
su2random_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,45
su2random_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
su2random_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,48
su2random_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,63
su2random_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,72
su2random_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,60
su2random_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,81
su2random_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,81
tsp_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,5
tsp_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,10
tsp_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,10
twolocalrandom_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,75
twolocalrandom_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,96
twolocalrandom_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,108
twolocalrandom_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,18
twolocalrandom_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,24
twolocalrandom_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,24
twolocalrandom_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,27
twolocalrandom_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,36
twolocalrandom_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,36
twolocalrandom_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,36
twolocalrandom_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,45
twolocalrandom_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
twolocalrandom_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,48
twolocalrandom_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,63
twolocalrandom_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,72
twolocalrandom_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,60
twolocalrandom_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,81
twolocalrandom_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,81
vqe_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,2
vqe_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,4
vqe_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,6
vqe_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,2
vqe_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,4
vqe_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,4
vqe_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,2
vqe_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,4
vqe_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,4
vqe_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,2
vqe_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,4
vqe_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,6
vqe_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,2
vqe_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,4
vqe_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,6
vqe_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,2
vqe_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,4
vqe_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,4
wstate_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,2
wstate_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,4
wstate_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,6
wstate_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,2
wstate_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,4
wstate_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,4
wstate_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,2
wstate_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,4
wstate_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,4
wstate_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,2
wstate_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,4
wstate_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,6
wstate_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,2
wstate_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,4
wstate_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,6
wstate_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,2
wstate_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,4
wstate_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,4
